VISITOR_ID,PURCHASE_SESSION_TIMESTAMP,PRIOR_TOUCHPOINTS,PRIOR_TOUCHPOINT_COUNT,CUMULATIVE_PRIOR_PURCHASE_SESSION_COUNT
7103321195030738247,2016-08-24 17:49:47.000,"Direct, Direct",2,0
1817256435818850257,2016-08-09 19:31:52.000,"PURCHASE, Organic Search, Organic Search, Organic Search",4,1
5415003861533964374,2016-08-27 19:26:24.000,"Referral, Referral, Referral",3,0
330289116549575054,2016-08-31 18:44:31.000,"Referral, Referral",2,0
5632276788326171571,2016-09-16 14:20:43.000,"Direct, Direct, Direct, Direct",4,0
0276648651758070096,2016-08-16 04:29:15.000,"Direct, Direct, Direct",3,0
562303340035925415,2016-08-08 21:37:11.000,"Referral, Organic Search, Organic Search",3,0
0281795238965680893,2016-08-10 17:09:43.000,Direct,1,0
8516103494116609949,2016-08-26 04:09:47.000,"PURCHASE, Referral, Referral, Referral, Referral, Referral",6,1
6760732402251466726,2016-08-24 15:49:49.000,PURCHASE,1,2
5676016082432448460,2016-08-25 14:47:40.000,"Referral, Referral, Referral, Referral",4,0
4632705432965404799,2016-10-14 01:41:30.000,"Referral, Referral, Referral",3,0
7476117049919443921,2016-08-29 18:03:25.000,Referral,1,0
9141220446851563090,2017-04-16 07:56:13.000,"Direct, Direct, Direct, Direct, Referral, Referral, Referral, Referral",8,0
9438258078214082431,2016-09-25 14:08:10.000,Organic Search,1,0
9044068295785235529,2016-10-13 14:50:57.000,Paid Search,1,0
9958703050592305834,2016-10-09 20:11:41.000,"Display, Referral",2,0
6370686241050647967,2016-11-28 06:10:27.000,"Organic Search, Organic Search, Organic Search",3,0
327132720272185354,2016-11-09 12:56:42.000,PURCHASE,1,1
457499068268843030,2016-10-07 21:30:44.000,Paid Search,1,0
2141731581139824096,2016-11-03 00:26:22.000,"Direct, Direct, Direct",3,0
8359659445596139520,2016-11-18 16:10:05.000,"Direct, Direct, Direct, Direct",4,0
5385185229855474745,2016-11-04 23:42:43.000,Organic Search,1,0
9233239597587770346,2016-11-17 15:57:47.000,"Direct, Referral",2,0
3732823678511009325,2016-10-29 01:32:43.000,Organic Search,1,0
5480097913363459675,2016-11-10 21:48:50.000,"Direct, Direct, Direct",3,0
9636637171171801959,2016-11-23 17:01:37.000,Organic Search,1,0
8694856978867122948,2016-12-06 17:53:28.000,"Referral, Referral",2,0
0113842242927238752,2016-12-23 21:19:09.000,"Referral, Referral, Referral",3,0
668412102235086407,2016-12-08 06:01:32.000,Paid Search,1,0
4691824911067935393,2016-12-07 00:03:13.000,Referral,1,0
1799811796285351595,2016-12-12 18:12:28.000,Referral,1,0
1439206441625639697,2016-12-15 03:47:12.000,Referral,1,0
5821918724383894548,2016-12-15 22:38:22.000,Organic Search,1,0
6237874653844289432,2016-12-17 01:14:22.000,Referral,1,0
9490705353206455281,2016-12-21 04:18:07.000,Referral,1,0
5106751521300969299,2017-03-22 01:27:59.000,"Referral, Referral, Referral, Referral, Referral, Referral",6,0
9205496322274361632,2017-01-02 18:00:12.000,"Organic Search, Organic Search",2,0
2449425615576273633,2017-01-03 20:08:12.000,"PURCHASE, Organic Search",2,2
2020115174591875878,2017-01-31 22:07:39.000,"PURCHASE, Referral",2,1
