PURCHASE_SESSION_ID,TOUCHPOINT_SESSION_ID,VISITOR_ID,PURCHASE_SESSION_TIMESTAMP,CLOSING_CHANNEL_GROUPING,ANCHOR_TRANSACTION_COUNT,ANCHOR_TRANSACTION_REVENUE,PURCHASE_SEQUENCE,TOUCHPOINT_TIMESTAMP,TOUCHPOINT_CHANNEL_GROUPING
3826933837621771483-1480367284-1480367284,3826933837621771483-1476120279-1476120279,3826933837621771483,2016-11-28 21:08:04.000,Organic Search,1,412.31,1,2016-10-10 17:24:39.000,Organic Search
9197517123967159565-1488229412-1488229412,9197517123967159565-1488227368-1488227368,9197517123967159565,2017-02-27 21:03:32.000,Referral,1,18.19,1,2017-02-27 20:29:28.000,Referral
3877662166463811188-1491868638-1491868638,3877662166463811188-1486673160-1486673160,3877662166463811188,2017-04-10 23:57:18.000,Referral,1,70.75,1,2017-02-09 20:46:00.000,Referral
3510875944758249894-1474667094-1474667094,3510875944758249894-1474662800-1474662800,3510875944758249894,2016-09-23 21:44:54.000,Referral,1,49.79,1,2016-09-23 20:33:20.000,Referral
4705524295193430046-1479175851-1479175851,4705524295193430046-1476908354-1476908354,4705524295193430046,2016-11-15 02:10:51.000,Referral,1,50.79,1,2016-10-19 20:19:14.000,Referral
9856403899995722473-1499711517-1499711517,9856403899995722473-1499698816-1499698816,9856403899995722473,2017-07-10 18:31:57.000,Direct,1,384.4,1,2017-07-10 15:00:16.000,Direct
5676016082432448460-1472136460-1472136460,5676016082432448460-1472053021-1472053021,5676016082432448460,2016-08-25 14:47:40.000,Referral,1,99.13,1,2016-08-24 15:37:01.000,Referral
1293859889635603442-1488559452-1488559452,1293859889635603442-1488229234-1488229234,1293859889635603442,2017-03-03 16:44:12.000,Referral,1,102.5,1,2017-02-27 21:00:34.000,Referral
1759779356678951325-1477587455-1477587455,1759779356678951325-1477580285-1477580285,1759779356678951325,2016-10-27 16:57:35.000,Direct,1,268.53,1,2016-10-27 14:58:05.000,Direct
9332319683360717593-1481765530-1481765530,9332319683360717593-1479941576-1479941576,9332319683360717593,2016-12-15 01:32:10.000,Organic Search,1,144.96,1,2016-11-23 22:52:56.000,Direct
9433517997046669782-1500306181-1500306181,9433517997046669782-1497654854-1497654854,9433517997046669782,2017-07-17 15:43:01.000,Organic Search,1,39.2,3,2017-06-16 23:14:14.000,Organic Search
8519577869545508855-1499745200-1499745200,8519577869545508855-1496432992-1496432992,8519577869545508855,2017-07-11 03:53:20.000,Referral,1,35.62,2,2017-06-02 19:49:52.000,Referral
6814041707718755292-1474658860-1474658860,6814041707718755292-1473871499-1473871499,6814041707718755292,2016-09-23 19:27:40.000,Referral,1,239.57,1,2016-09-14 16:44:59.000,Direct
5338696842809908912-1476729908-1476729908,5338696842809908912-1476723748-1476723748,5338696842809908912,2016-10-17 18:45:08.000,Referral,1,103.96,1,2016-10-17 17:02:28.000,Referral
1091802616723319272-1491507642-1491507642,1091802616723319272-1491501899-1491501899,1091802616723319272,2017-04-06 19:40:42.000,Referral,1,1242.38,2,2017-04-06 18:04:59.000,Referral
8732851930858933154-1481231863-1481231863,8732851930858933154-1479222766-1479222766,8732851930858933154,2016-12-08 21:17:43.000,Referral,1,114.75,1,2016-11-15 15:12:46.000,Referral
3978014163189358246-1481126312-1481126312,3978014163189358246-1481075431-1481075431,3978014163189358246,2016-12-07 15:58:32.000,Direct,1,61.99,1,2016-12-07 01:50:31.000,Direct
2773403605706356104-1478295755-1478295755,2773403605706356104-1476120482-1476120482,2773403605706356104,2016-11-04 21:42:35.000,Referral,1,62.99,1,2016-10-10 17:28:02.000,Direct
2449425615576273633-1483325141-1483325141,2449425615576273633-1481645607-1481645607,2449425615576273633,2017-01-02 02:45:41.000,Organic Search,1,53.96,2,2016-12-13 16:13:27.000,Organic Search
87422696443112888-1471808390-1471808390,87422696443112888-1470680986-1470680986,87422696443112888,2016-08-21 19:39:50.000,Referral,2,122.07,1,2016-08-08 18:29:46.000,Referral
0598476687815353252-1479859134-1479859134,0598476687815353252-1479329430-1479329430,0598476687815353252,2016-11-22 23:58:54.000,Paid Search,1,10.99,1,2016-11-16 20:50:30.000,Paid Search
2893040356372252170-1480456237-1480456237,2893040356372252170-1480365867-1480365867,2893040356372252170,2016-11-29 21:50:37.000,Referral,1,58.14,1,2016-11-28 20:44:27.000,Referral
1511633690597496390-1476999438-1476999438,1511633690597496390-1476125946-1476125946,1511633690597496390,2016-10-20 21:37:18.000,Direct,1,411.4,1,2016-10-10 18:59:06.000,Direct
6643309753401682133-1487194423-1487194423,6643309753401682133-1487107699-1487107699,6643309753401682133,2017-02-15 21:33:43.000,Direct,1,50.78,1,2017-02-14 21:28:19.000,Direct
9620923631569343304-1476367056-1476367056,9620923631569343304-1475629349-1475629349,9620923631569343304,2016-10-13 13:57:36.000,Direct,1,29.99,1,2016-10-05 01:02:29.000,Direct
1063651652107093288-1477495514-1477495514,1063651652107093288-1476450674-1476450674,1063651652107093288,2016-10-26 15:25:14.000,Direct,1,60.99,3,2016-10-14 13:11:14.000,Direct
5952403374581782630-1494643053-1494643053,5952403374581782630-1494639481-1494639481,5952403374581782630,2017-05-13 02:37:33.000,Referral,1,43.98,1,2017-05-13 01:38:01.000,Referral
0647701940544723891-1500264031-1500264031,0647701940544723891-1497674298-1497674298,0647701940544723891,2017-07-17 04:00:31.000,Referral,1,73.05,1,2017-06-17 04:38:18.000,Referral
2867026002929382725-1481690045-1481690045,2867026002929382725-1480944991-1480944991,2867026002929382725,2016-12-14 04:34:05.000,Referral,1,22.38,1,2016-12-05 13:36:31.000,Referral
0101246539776970727-1482345371-1482345371,0101246539776970727-1481561507-1481561507,0101246539776970727,2016-12-21 18:36:11.000,Referral,1,176.6,2,2016-12-12 16:51:47.000,Referral
0985098225619885190-1494870881-1494870881,0985098225619885190-1478571953-1478571953,0985098225619885190,2017-05-15 17:54:41.000,Referral,1,42.21,1,2016-11-08 02:25:53.000,Referral
493200894475132340-1473028115-1473028115,493200894475132340-1473000432-1473000432,493200894475132340,2016-09-04 22:28:35.000,Referral,1,417.02,1,2016-09-04 14:47:12.000,Referral
3012297793847553299-1500953257-1500953257,3012297793847553299-1498779714-1498779714,3012297793847553299,2017-07-25 03:27:37.000,Referral,1,30.46,1,2017-06-29 23:41:54.000,Referral
5343854079752182770-1475610958-1475610958,5343854079752182770-1473958223-1473958223,5343854079752182770,2016-10-04 19:55:58.000,Referral,1,266.96,1,2016-09-15 16:50:23.000,Direct
809414136326091253-1487958827-1487958827,809414136326091253-1485180051-1485180051,809414136326091253,2017-02-24 17:53:47.000,Referral,1,209.59,1,2017-01-23 14:00:51.000,Referral
527426783375720325-1501522971-1501522971,527426783375720325-1501433421-1501433421,527426783375720325,2017-07-31 17:42:51.000,Referral,1,226.57,1,2017-07-30 16:50:21.000,Referral
1856789034184748379-1478639412-1478639412,1856789034184748379-1478214218-1478214218,1856789034184748379,2016-11-08 21:10:12.000,Referral,1,62.99,1,2016-11-03 23:03:38.000,Referral
