VISITOR_ID,PURCHASE_SESSION_ID,TOUCHPOINT_SESSION_ID,TOUCHPOINT_CHANNEL_GROUPING,LINEAR_CREDIT_TRANSACTIONS,LINEAR_CREDIT_REVENUE,LAST_TOUCH_CREDIT_TRANSACTIONS,LAST_TOUCH_CREDIT_REVENUE
9401702056400438327,9401702056400438327-1493827942-1493827942,9401702056400438327-1493827720-1493827720,Direct,0.500000,16.595,0,0
9401702056400438327,9401702056400438327-1493827942-1493827942,9401702056400438327-1493827942-1493827942,Referral,0.500000,16.595,1,33.19
8855225089630002391,8855225089630002391-1495044995-1495044995,8855225089630002391-1494863215-1494863215,Direct,0.333333,18.786666667,0,0
8855225089630002391,8855225089630002391-1495044995-1495044995,8855225089630002391-1495044995-1495044995,Referral,0.333333,18.786666667,1,56.36
8855225089630002391,8855225089630002391-1495044995-1495044995,8855225089630002391-1494972682-1494972682,Referral,0.333333,18.786666667,0,0
1205098047899006231,1205098047899006231-1499443910-1499443910,1205098047899006231-1492546798-1492546798,Direct,0.333333,10.23,0,0
1205098047899006231,1205098047899006231-1499443910-1499443910,1205098047899006231-1492566847-1492566847,Direct,0.333333,10.23,0,0
1205098047899006231,1205098047899006231-1499443910-1499443910,1205098047899006231-1492538364-1492538364,Direct,0.333333,10.23,0,0
1205098047899006231,1205098047899006231-1499443910-1499443910,1205098047899006231-1491922918-1491922918,Direct,0.333333,10.23,0,0
1205098047899006231,1205098047899006231-1499443910-1499443910,1205098047899006231-1492667014-1492667014,Direct,0.333333,10.23,0,0
1205098047899006231,1205098047899006231-1499443910-1499443910,1205098047899006231-1499443910-1499443910,Referral,0.333333,10.23,2,61.38
1311682260438379600,1311682260438379600-1500947431-1500947431,1311682260438379600-1500947431-1500947431,Referral,0.333333,6.243333333,1,18.73
1311682260438379600,1311682260438379600-1500947431-1500947431,1311682260438379600-1500491101-1500491101,Organic Search,0.333333,6.243333333,0,0
1311682260438379600,1311682260438379600-1500947431-1500947431,1311682260438379600-1500487291-1500487291,Organic Search,0.333333,6.243333333,0,0
2215681073032687184,2215681073032687184-1475271147-1475271147,2215681073032687184-1470085235-1470085235,Direct,0.166667,22.496666667,0,0
2215681073032687184,2215681073032687184-1475271147-1475271147,2215681073032687184-1475267749-1475267749,Referral,0.166667,22.496666667,0,0
2215681073032687184,2215681073032687184-1475271147-1475271147,2215681073032687184-1470238873-1470238873,Direct,0.166667,22.496666667,0,0
2215681073032687184,2215681073032687184-1475271147-1475271147,2215681073032687184-1470234760-1470234760,Direct,0.166667,22.496666667,0,0
2215681073032687184,2215681073032687184-1475271147-1475271147,2215681073032687184-1470194271-1470194271,Direct,0.166667,22.496666667,0,0
2215681073032687184,2215681073032687184-1475271147-1475271147,2215681073032687184-1475271147-1475271147,Referral,0.166667,22.496666667,1,134.98
0324564641241038377,0324564641241038377-1494858999-1494858999,0324564641241038377-1488324475-1488324475,Direct,0.100000,8.385,0,0
0324564641241038377,0324564641241038377-1494858999-1494858999,0324564641241038377-1493846144-1493846144,Organic Search,0.100000,8.385,0,0
0324564641241038377,0324564641241038377-1494858999-1494858999,0324564641241038377-1494858999-1494858999,Organic Search,0.100000,8.385,1,83.85
0324564641241038377,0324564641241038377-1494858999-1494858999,0324564641241038377-1494612885-1494612885,Organic Search,0.100000,8.385,0,0
0324564641241038377,0324564641241038377-1494858999-1494858999,0324564641241038377-1494798629-1494798629,Organic Search,0.100000,8.385,0,0
0324564641241038377,0324564641241038377-1494858999-1494858999,0324564641241038377-1494821649-1494821649,Organic Search,0.100000,8.385,0,0
0324564641241038377,0324564641241038377-1494858999-1494858999,0324564641241038377-1493854273-1493854273,Organic Search,0.100000,8.385,0,0
0324564641241038377,0324564641241038377-1494858999-1494858999,0324564641241038377-1494607923-1494607923,Organic Search,0.100000,8.385,0,0
